Beneficiários por Município
Assistência Médica por Município
Grande Região: Nordeste
Período:Dez/2014
"Município";"Assistência_Médica"
"250870 Mãe d'Água";17
"250880 Malta";77
"250890 Mamanguape";1296
"250900 Manaíra";47
"250905 Marcação";21
"250910 Mari";195
"250915 Marizópolis";102
"250920 Massaranduba";103
"250930 Mataraca";76
"250933 Matinhas";6
"250937 Mato Grosso";20
"250939 Maturéia";17
"250940 Mogeiro";117
"250950 Montadas";109
"250960 Monte Horebe";16
"250970 Monteiro";814
"250980 Mulungu";39
"250990 Natuba";19
"251000 Nazarezinho";70
"251010 Nova Floresta";136
"251020 Nova Olinda";33
"251030 Nova Palmeira";51
"251040 Olho d'Água";36
"251050 Olivedos";50
"251060 Ouro Velho";18
"251065 Parari";7
"251070 Passagem";54
"251080 Patos";6122
"251090 Paulista";8290
"251100 Pedra Branca";24
"251110 Pedra Lavrada";33
"251120 Pedras de Fogo";917
"251272 Pedro Régis";6
"251130 Piancó";287
"251140 Picuí";335
"251150 Pilar";520
"251160 Pilões";58
"251170 Pilõezinhos";22
"251180 Pirpirituba";151
"251190 Pitimbu";254
"251200 Pocinhos";402
"251203 Poço Dantas";6
"251207 Poço de José de Moura";3
"251210 Pombal";1015
"251220 Prata";23
"251230 Princesa Isabel";420
"251240 Puxinanã";370
"251250 Queimadas";1778
"251260 Quixabá";15
"251270 Remígio";474
"251274 Riachão";6
"251275 Riachão do Bacamarte";15
"251276 Riachão do Poço";11
"251278 Riacho de Santo Antônio";17
"251280 Riacho dos Cavalos";46
"251290 Rio Tinto";535
"251300 Salgadinho";18
"251310 Salgado de São Félix";79
"251315 Santa Cecília";39
"251320 Santa Cruz";61
"251330 Santa Helena";15
"251335 Santa Inês";31
"251340 Santa Luzia";633
"251370 Santa Rita";10054
"251380 Santa Teresinha";17
"251350 Santana de Mangueira";28
"251360 Santana dos Garrotes";40
"251365 Santarém";86
"251385 Santo André";500
"251392 São Bentinho";28
"251390 São Bento";438
"251396 São Domingos";3
"251394 São Domingos do Cariri";10
"251398 São Francisco";52
"251400 São João do Cariri";88
"250070 São João do Rio do Peixe";190
